SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
83366,456597987.44541734,670,545,828,350.96347,58.844963,2.4455,suzaku,xis,508011020,suzaku/xis/508011020
83473,456598003.44590276,993,814,879,350.81293,58.859787,3.62445,suzaku,xis,508011020,suzaku/xis/508011020
84061,456598035.4454089,1575,765,812,350.84036,58.840393,5.74875,suzaku,xis,508011020,suzaku/xis/508011020
84319,456598051.4454061,355,780,774,350.83197,58.82939,1.29575,suzaku,xis,508011020,suzaku/xis/508011020
85394,456598115.4453951,634,800,760,350.82077,58.825336,2.3141,suzaku,xis,508011020,suzaku/xis/508011020
86428,456598179.4453843,730,813,808,350.8135,58.839233,2.6645,suzaku,xis,508011020,suzaku/xis/508011020
86668,456598195.44538164,406,882,830,350.77487,58.84559,1.4819,suzaku,xis,508011020,suzaku/xis/508011020
86712,456598195.44538164,1567,807,800,350.81686,58.836918,5.71955,suzaku,xis,508011020,suzaku/xis/508011020
86713,456598195.44538164,1084,813,824,350.8135,58.843864,3.9566,suzaku,xis,508011020,suzaku/xis/508011020
87482,456598243.4453738,591,785,783,350.82916,58.831997,2.15715,suzaku,xis,508011020,suzaku/xis/508011020
87594,456598243.4453738,325,721,1004,350.86502,58.895973,1.18625,suzaku,xis,508011020,suzaku/xis/508011020
88050,456598275.4453686,301,765,817,350.84036,58.84184,1.09865,suzaku,xis,508011020,suzaku/xis/508011020
88097,456598275.4453686,645,724,853,350.8633,58.85226,2.35425,suzaku,xis,508011020,suzaku/xis/508011020
89113,456598339.44535846,405,759,779,350.84372,58.83084,1.47825,suzaku,xis,508011020,suzaku/xis/508011020
90117,456598403.4453485,1088,813,753,350.8135,58.82331,3.9712,suzaku,xis,508011020,suzaku/xis/508011020
90340,456598419.44534606,532,1077,808,350.6658,58.83912,1.9418,suzaku,xis,508011020,suzaku/xis/508011020
90551,456598419.44534606,303,662,845,350.898,58.849934,1.10595,suzaku,xis,508011020,suzaku/xis/508011020
91164,456598467.44533867,383,1248,842,350.57007,58.8488,1.39795,suzaku,xis,508011020,suzaku/xis/508011020
91647,456598483.4453363,304,668,797,350.89462,58.836037,1.1096,suzaku,xis,508011020,suzaku/xis/508011020
92348,456598531.445329,346,707,788,350.8728,58.83344,1.2629,suzaku,xis,508011020,suzaku/xis/508011020
92381,456598531.445329,514,675,813,350.89072,58.84067,1.8761,suzaku,xis,508011020,suzaku/xis/508011020
92489,456598547.44532657,987,816,794,350.81183,58.83518,3.60255,suzaku,xis,508011020,suzaku/xis/508011020
92622,456598547.44532657,461,711,831,350.87057,58.84589,1.68265,suzaku,xis,508011020,suzaku/xis/508011020
